table,description,rows per study,domain
baseline_counts,"Sample size at baseline for each study group; usually a count of participants but can represent other units of measure such as 'hands', 'hips', etc.",many,Results
baseline_measurements,Summaries of demographic & baseline measures collected by arm or comparison group and for the entire population of participants in the clinical study. ,many,Results
brief_summaries,A single text column that provides a brief description of the study.,one,Protocol
browse_conditions,NLM uses an internal algorithm to assess the data entered for a study and creates a list of standard MeSH terms that describe the condition(s) being addressed by the clinical trial.  This table provides the results of NLM's assessment,many,Protocol
browse_interventions,NLM uses an internal algorithm to assess the data entered for a study and creates a list of standard MeSH terms that describe the intervention(s) being addressed by the clinical trial.  This table provides the results of NLM's assessment,many,Protocol
calculated_values,"An AACT-provided table that contains info that's been calculated from the information received from ClinicalTrials.gov.  For example, number_of_facilities and actual_duration are provided in this table.",one,Protocol
categories,"Provides a way to gather studies that fit a particular category, such as COVID-19 studies. It contains a study id and a name. The name reflects the search term used to find the study.",one,n/a
central_contacts,Contact info for people (primary & backup) who can answer questions concerning enrollment at any location of the study.,many,Protocol
conditions,"Name(s) of the disease(s) or condition(s) studied in the clinical study, or the focus of the clinical study. Can include NLM's Medical Subject Heading (MeSH)-controlled vocabulary terms.",many,Protocol
countries,Countries in which the study has facilities/sites.,many,Protocol
design_group_interventions,"A cross reference for groups/interventions.  If a study has multiple groups and multiple interventions, this table shows which interventions are associated with which groups.",many,Protocol
design_groups,"Defines the protocol-specified group, subgroup, or cohort of participants in a clinical trial assigned to receive specific intervention(s) or observations according to a protocol.",many,Protocol
design_outcomes,"Description of planned outcome measures and observations that will describe patterns of diseases and traits/associations with exposures, risk factors or treatment.",many,Protocol
designs,"Description of how the study will be conducted, including comparison group design and strategies for masking and allocating participants.",one,Protocol
detailed_descriptions,A single text column that provides a detailed description of the study protocol.,one,Protocol
documents,"The full study protocol and statistical analysis plan must be uploaded as part of results information submission, for studies with a Primary Completion Date on or after January 18, 2017. The protocol and statistical analysis plan may be optionally uploaded before results information submission and updated with new versions, as needed. Informed consent forms may optionally be uploaded at any time.",many,Results
drop_withdrawals,"Summarized information about how many participants withdrew from the study, when and why. This information explains disposition of participants relative to the numbers starting and completing the study (enumerated in the Milestones table).",many,Results
eligibilities,Information about the criteria used to select participants; includes inclusion and exclusion criteria,one,Protocol
facilities,"Name, address and recruiting status of the facilities participating in the study.",many,Protocol
facility_contacts,"Contact information for people responsible for the study at each facility. (primary and backup)  Facility contact information is available if the facility status (Facilities.Status) is ‘Recruiting’ or ‘Not yet recruiting’, and if the data provider has provided such information. Contact information is removed from the publicly available content at ClinicalTrials.gov when the facility is no longer recruiting, or when the overall study status (Studies.Overall_status) changes to indicate that the study has completed recruitment.",many,Protocol
facility_investigators,"Names of the investigators at each study facility.  Facility investigator information is available if the facility status (Facilities.Status) is ‘Recruiting’ or ‘Not yet recruiting’, and if the data provider has provided such information. Investigator information is removed from the publicly available content at ClinicalTrials.gov when the facility is no longer recruiting, or when the overall study status (Studies.Overall_status) changes to indicate that the study has completed recruitment.",many,Protocol
Id_Information,"Identifiers (other than the NCT ID) that uniquely identify the study such as that assigned by the sponsor, or an NCT ID that had previously been used for the study.",many,Protocol
intervention_other_names,Terns or phrases that are synonymous with an intervention.  (Each row is linked to one of the interventions associated with the study.),many,Protocol
interventions,"The interventions or exposures (including drugs, medical devices, procedures, vaccines, and other products) of interest to the study, or associated with study arms/groups.",many,Protocol
keywords,Provides words or phrases that best describe the protocol. Keywords help users find studies in the database. Can include NLM's Medical Subject Heading (MeSH)-controlled vocabulary terms.,many,Protocol
links,"Web site directly relevant to the protocol.  (ie, links to educational, research, government, and other non-profit Web pages)",many,Protocol
milestones,"Information summarizing the progress of participants through each stage of a study, including the number of participants who started and completed the trial. Enumeration of participants not completing the study is included in the Drop_Withdrawals table.",many,Results
outcome_analyses,"Results of scientifically appropriate statistical analyses performed on primary and secondary study outcomes. Includes results for treatment effect estimates, confidence intervals and othe rmeasures of dispersion, and p-values.",many,Results
outcome_analysis_groups,Identifies the comparison groups that were involved with each outcome analysis,many,Results
outcome_counts,"Sample size included in analysis for each outcome for each study group; usually participants but can represent other units of measure such as eyes 'lesions', etc.",many,Results
outcome_measurements,Summary data for primary and secondary outcome measures for each study group. Includes parameter estimates and measures of dispersion/precision.,many,Results
outcomes,"Descriptions of outcomes, or observation that were measured to determine patterns of diseases or traits, or associations with exposures, risk factors, or treatment. Includes information such as time frame, population and units.  (Specific measurement results are stored in the Outcome_Measurements table.)",many,Results
